company,company_score
Warner Bros.,5
Columbia Pictures,5
Lucasfilm,5
Paramount Pictures,5
Orion Pictures,5
Universal Pictures,5
Chartoff-Winkler Productions,5
Dovemead Films,5
United Artists,5
The Malpaso Company,5
C.A.T. Films,4
Filmways Pictures,4
Rastar Pictures,5
Metro-Goldwyn-Mayer (MGM),5
IPC Films,5
AVCO Embassy Pictures,5
Lorimar Film Entertainment,5
Partisan Productions,0
Bryna Productions,4
Stephen Friedman/Kings Road Productions,5
ITC Films,0
Twentieth Century Fox,5
Guardian Trust Company,4
Cattle Annie Productions,0
Rastar Films,5
PolyGram Filmed Entertainment,5
Camp Hill,4
EMI Films,4
Walt Disney Productions,5
The South Australian Film Corporation,0
Melvin Simon Productions,4
The Jerry Gross Organization,0
Falcon International Productions,0
Jack Rollins & Charles H. Joffe Productions,0
Opera Film Produzione,3
Tri Star Productions,0
International Cinema,0
Mulberry Square Productions,3
American Cinema Productions,4
Sunn Classic Pictures,4
Major Studio Partners,5
Brooksfilms,5
Mosfilm,0
Braun Entertainment Group,4
Kings Road Entertainment,5
Lee Mendelson Film Productions,3
Alive Enterprises,4
Diversity Music,3
Santa Fe International,0
Borough Park Productions,0
Mike Lobell Productions,3
Time Life Films,5
Les Films Paul Grimault,3
Herb Jaffe,0
Da.Ma. Cinematografica,4
Chuck Barris Productions,4
Broadway Productions,3
F.F. Associates,4
East Asia Film Company,0
The Ladd Company,5
Polygram Pictures,4
Renaissance Pictures,5
Astral Bellevue Pathé,5
Charles H. Schneer Productions,4
Cinema '84,5
Kennedy Miller Productions,4
Bavaria Film,5
Gaumont,0
Golden Harvest Company,5
Mann/Caan Productions,4
HandMade Films,5
Georgetown Productions Inc.,5
Canadian Film Development Corporation (CFDC),5
Eon Productions,5
Dino De Laurentiis Company,5
Barclays Mercantile Industrial Finance,0
Walt Disney Animation Studios,5
Enigma Productions,5
Saga Productions Inc.,3
Estudios Churubusco Azteca S.A.,5
Aspen Productions (I),0
Embassy Pictures,5
Gurian Entertainment,0
International Cinema Corporation (ICC),4
Barry & Enright Productions,4
CIP Filmproduktion GmbH,3
R&R Films,4
Cinema Group Ventures,5
Artista Management,3
Fulvia Film,0
Zoetrope Studios,0
Juniper Films,4
Henson Associates (HA),5
C & C Brown Production,5
Deliverance Productions,5
Limelight Productions (II),3
Allen Smithee Classic Films,4
Les Films Galaxie,3
Morison Film Group,4
Innovisions,0
DeHaven/Shapiro Productions,4
Lija Productions,4
Viacom Enterprises,4
Merchant Ivory Productions,4
Baughn/Freed Productions,0
Bakshi Productions,0
Eaves Movie Ranch,0
Lorimar Productions,0
Adams Apple Film Company,4
Jaquet,4
Heron Productions,0
CBS Theatrical Films,4
One Way Productions,0
PolyGram Pictures,0
Calendar International Pictures,0
Balkan Productions,4
Lupo-Anthony-Quintano Productions,4
Les Films du Losange,5
Anabasis N.V.,5
Cannon Group,4
Incorporated Television Company (ITC),5
International Film Investors,5
Aurora,4
Embassy International Pictures,0
Leisure Investment Company,4
United Film Distribution Company (UFDC),4
Cambridge Productions,4
Goldcrest Films International,5
RKO Pictures,0
Cinematograph AB,3
Almena Films,3
Pan Arts,4
Rankin/Bass Productions,3
VAE Productions,4
Sorcerer Productions,5
Golan-Globus Productions,5
The Geffen Company,5
Aspen Film Society,4
The Romantic Venture,4
Chai Productions,0
Byzantine Productions,0
ABC Motion Pictures,5
IndieProd Company Productions,4
Katzka,4
Sandcastle 5 Productions,0
Richmond Light Horse Productions,0
Efer Productions,0
Company Four,3
James Glickenhaus,3
Gray City,3
Jensen Farley Pictures,3
S.F.P.C.,4
Gold Pine Productions,4
Bob-Bea Productions,4
Cypress Grove,4
Warner Bros. Animation,3
Frank Yablans Presentations,4
Accent Films B.V.,4
Permut Presentations,5
Regina Ziegler Filmproduktion,3
Alan Enterprises,0
Hanna-Barbera Productions,4
Blustarr,0
Channel Four Film,0
Blueline Productions,4
Adam Packer Film Productions,3
National Lampoon,5
American Eagle Films,0
Unity Productions,4
Atlantic Entertainment Group,5
Filmplan International,0
Amblin Entertainment,5
TaliaFilm II Productions,4
Sherwood Productions,5
Breathless Associates,4
Lucille Ball Productions,4
Marimark Productions,5
Ladbroke,5
Polyc International BV,0
Seagoat Films,0
Celandine Films,4
Rai 2,3
Edward S. Feldman Productions,4
Aries Cinematográfica Argentina,4
Antron Media Production,4
Eagle Associates.,3
1818 Productions,4
Easy Money Associates,5
National Film Trustee Company,3
Tiberius Film Productions,0
Millenium,4
JF Productions,0
Cannon Films,5
Black Rhino Productions,4
Hickmar Productions,4
Cabal Film,0
Heat GBR,4
City Films,4
Walt Disney Pictures,5
Nelvana,5
Cannon Films Inc.,4
Acorn Pictures,4
Unknown,5
De Laurentiis Entertainment Group (DEG),4
Osterman Weekend Associates,0
Recorded Picture Company (RPC),4
Diamant Film,3
World Film Services,0
Harold Robbins International Company,0
Thorn EMI Screen Entertainment,0
Delphi Films,4
Double Play,0
Les Productions Mutuelles Ltée,0
D & P Productions,0
Phillips Whitehouse Productions,0
Albert Band International Productions Inc.,4
Seventh Avenue Films,3
Winwood Productions,3
Englander Productions,0
Cinema Vehicle Services,5
Metrocolor,4
Star Cinema,0
Gaylord Productions,3
K.G. Productions,0
Jennie and Company,3
Force Productions,0
Charles Burnett Productions,0
Lantana,0
Filmline Productions,0
Pirromount Pictures,0
Channel Four Films,5
The Samuel Goldwyn Company,0
CTV,0
New Line Cinema,5
AMLF,4
Constantin Film,5
Road Movies Filmproduktion,0
Spinal Tap Prod.,3
Virgin,4
Kingsmere Properties,4
Hal Roach Studios,4
Touchstone Pictures,5
River Road Productions,3
TriStar Pictures,5
Bachelor Party Productions,5
Nibariki,4
Chroma III Productions,4
Artistry Limited,0
C.H.U.D. Productions,4
Edge City Productions,0
Zupnik-Curtis Enterprises,4
New World Pictures,5
Delphi II Productions,5
Arcafin B.V.,4
Cinesthesia Productions,3
Zenith Entertainment,0
Colgems Productions Ltd.,0
The Cannon Group,5
Films de L'Alma,3
A&M Films,3
Empire Pictures,0
Jaffe-Lansing,0
Edgar J. Scherick Associates,3
Capricorn,4
Racing Pictures,0
Georgian-Film,0
UAA Films,3
Lake (Comfort and Joy),3
Hemdale,5
Conacite Uno,3
HBO Pictures,5
Fox Run Productions Inc.,0
Spectrum Cinema Productions,3
Baltic Industrial Finance,4
Don Simpson/Jerry Bruckheimer Films,5
Anarchist's Convention Films,4
BBE,4
Hawn / Sylbert Movie Company,5
Tartan Productions,3
Far West,4
MPL Communications,0
Filmtre,0
