director,director_score
Stanley Kubrick,5
Randal Kleiser,5
Irvin Kershner,5
Jim Abrahams,5
Harold Ramis,5
Sean S. Cunningham,4
John Landis,5
Martin Scorsese,5
Richard Lester,4
Walter Hill,4
Buddy Van Horn,4
Jamie Uys,4
Robert Altman,4
Robert Redford,5
Brian De Palma,5
Jeannot Szwarc,0
Alan Parker,4
Colin Higgins,5
John Carpenter,0
Sidney Poitier,5
William Friedkin,4
Michael Cimino,0
Don Taylor,3
Robert Greenwald,3
James Bridges,4
Ken Russell,4
Ron Maxwell,0
Jerry Jameson,0
Stuart Rosenberg,4
Paul Schrader,0
Tony Bill,0
Paul Lynch,4
Hal Needham,5
Lamont Johnson,0
Jay Sandrich,4
Howard Zieff,5
Floyd Mutrux,0
Kevin Connor,3
Richard Fleischer,4
Michael Apted,5
John Hough,3
Bruce Beresford,5
Richard Rush,0
Art Linson,4
Mike Newell,5
Tommy Chong,5
Michael Ritchie,5
Ulli Lommel,0
Clive Donner,0
Moustapha Akkad,0
Woody Allen,5
Jonathan Demme,5
Nancy Walker,0
Clint Eastwood,5
Federico Fellini,3
Lang Elliott,0
James Goldstone,0
Joe Camp,3
Eric Karson,4
James L. Conway,0
Vincent McEveety,4
Joel Oliansky,4
Claudia Weill,0
Jerry Schatzberg,4
Daniel Petrie,4
Anne Bancroft,3
Vladimir Menshov,0
Piers Haggard,4
Bill Persky,4
Martin Davidson,4
Gary Weis,4
Bill Melendez,3
Marty Feldman,3
Alan Rudolph,0
Sidney Lumet,4
Charles Jarrott,4
Walter Bernstein,3
Paul Mazursky,4
Franco Rosso,1
Kieth Merrill,0
John Huston,4
Gordon Willis,3
Jack Smight,3
Paul Grimault,3
Gilbert Cates,4
Michael Pressman,5
Édouard Molinaro,4
Chuck Barris,3
Mike Nichols,5
Larry Peerce,3
Buck Henry,4
Wing-Cho Yip,0
Steven Spielberg,5
Lawrence Kasdan,5
Sam Raimi,5
Bob Clark,5
Desmond Davis,4
John Boorman,4
George Miller,5
Wolfgang Petersen,5
Ivan Reitman,5
Andrzej Zulawski,3
Michael Mann,5
Franco Zeffirelli,4
Terry Gilliam,5
Alan Alda,5
Steve Miner,5
David Cronenberg,5
John Glen,5
Rick Rosenthal,4
Harold Becker,5
Warren Beatty,5
Mark Rydell,5
Directors,5
Hugh Hudson,4
Sydney Pollack,5
John Derek,4
Steve Gordon,5
Louis Malle,0
Carl Gottlieb,4
Gary Sherman,4
Mel Brooks,4
Joe Dante,5
Matthew Robbins,4
Ivan Passer,3
Jean-Jacques Annaud,5
Graham Baker,4
Frank Perry,4
Alan Myerson,4
Bob Rafelson,0
Milos Forman,0
Wes Craven,5
Peter Yates,3
Peter Weir,5
Peter Hyams,5
Blake Edwards,4
Lucio Fulci,0
John Irvin,4
George Mihalka,3
Tobe Hooper,4
Francis Ford Coppola,5
Karel Reisz,4
Jim Henson,4
Ulu Grosbard,0
Michael Crichton,0
Bruce Malmuth,4
Burt Reynolds,4
John G. Avildsen,5
Richard Marquand,5
Michael Wadleigh,0
Mickey Rose,3
Oliver Stone,5
Jean-Jacques Beineix,3
Ken Wiederhorn,3
Peter Medak,4
Steve Rash,4
Michael Schultz,4
Joel Schumacher,5
James Ivory,4
Herb Freed,4
Ken Shapiro,4
Herbert Ross,5
Ralph Bakshi,0
William A. Fraker,0
Franklin J. Schaffner,0
Ken Hughes,3
Steve Carver,3
Luis Valdez,4
George Cukor,4
Billy Wilder,0
Oz Scott,4
Albert Brooks,4
Allan Arkush,0
Martin Ritt,4
Gus Trikonis,4
Jack Fisk,0
John Badham,5
Terence Young,0
Jean-Claude Tramont,0
Roger Spottiswoode,5
Alan J. Pakula,5
Glenn Jordan,4
John Schlesinger,4
David Steinberg,4
Noel Nosseck,0
Byron Quisenberry,0
Steven Hilliard Stern,4
Ferdinando Baldi,4
Jacques Rivette,3
Allan King,3
Amy Heckerling,5
Ridley Scott,5
John Milius,4
Ted Kotcheff,5
