star,star_score
Jack Nicholson,5
Brooke Shields,4
Mark Hamill,5
Robert Hays,5
Chevy Chase,5
Betsy Palmer,4
John Belushi,5
Robert De Niro,5
Gene Hackman,5
David Carradine,4
Clint Eastwood,5
N!xau,4
Robin Williams,5
Donald Sutherland,5
Michael Caine,5
Christopher Reeve,4
Eddie Barth,4
Jane Fonda,5
Adrienne Barbeau,4
Gene Wilder,5
Al Pacino,5
Kris Kristofferson,0
Kirk Douglas,4
Olivia Newton-John,3
John Travolta,5
William Hurt,5
Tatum O'Neal,4
Jason Robards,0
Robert Redford,5
Richard Gere,5
Chris Makepeace,4
Leslie Nielsen,5
Burt Reynolds,5
Scott Glenn,5
Goldie Hawn,5
Tony Danza,4
Rory Calhoun,3
Laurence Olivier,4
Sissy Spacek,5
Bette Davis,3
Edward Woodward,0
Peter O'Toole,4
Peter Boyle,0
Charlton Heston,4
Cheech Marin,5
Suzanna Love,0
Don Adams,0
Anthony Quinn,0
Woody Allen,5
Paul Le Mat,0
Ray Simpson,0
Marcello Mastroianni,3
Tim Conway,0
Paul Newman,5
Chuck Norris,5
Darren McGavin,0
Charles Martin Smith,4
Richard Dreyfuss,5
Jill Clayburgh,0
Willie Nelson,4
Ellen Burstyn,4
Dom DeLuise,5
Vera Alentova,0
Peter Sellers,4
Martin Mull,4
John Ritter,4
Dudley Moore,5
Scott Beach,3
Marty Feldman,3
Meat Loaf,3
Ali MacGraw,3
Elliott Gould,4
Walter Matthau,5
Michael Ontkean,4
David N. Haynes,1
Trevor Howard,0
Paul Michael Glaser,0
Talia Shire,3
Shirley MacLaine,5
Jean Martin,3
George Burns,4
Frank Langella,3
Michel Serrault,4
Chuck Barris,3
Gilda Radner,3
Treat Williams,0
Bob Newhart,4
Ka-Yan Leung,0
Harrison Ford,5
David Naughton,4
Kurt Russell,5
Bruce Campbell,3
Dan Monahan,5
Nigel Terry,4
Mel Gibson,5
Jürgen Prochnow,4
Bill Murray,5
Isabelle Adjani,3
James Caan,5
Sean Connery,5
Alan Alda,5
Jennifer O'Neill,4
Roger Moore,5
Jamie Lee Curtis,5
George C. Scott,5
Warren Beatty,5
Katharine Hepburn,5
Mickey Rooney,4
Ben Cross,5
Bo Derek,4
Andre Gregory,1
Ringo Starr,4
James Farentino,0
Mel Brooks,4
Dee Wallace,4
Peter MacNicol,0
Jeff Bridges,5
Everett McGill,4
Sam Neill,5
Faye Dunaway,3
Sylvia Kristel,4
James Cagney,4
Maren Jensen,3
Keith Carradine,0
Julie Andrews,5
Catriona MacColl,0
Craig Wasson,4
Paul Kelman,3
Elizabeth Berridge,4
Frederic Forrest,0
Meryl Streep,5
Jim Henson,5
Albert Finney,0
Sylvester Stallone,5
Nell Schofield,3
Kristen Riter,3
Wilhelmenia Fernandez,1
Klaus Kinski,3
Lauren Tewes,3
George Hamilton,0
George Segal,3
Lily Tomlin,4
Kristy McNichol,4
Christopher George,3
Steve Martin,5
Mews Small,0
Klinton Spilsbury,0
Lesley-Anne Down,0
Leonard Mann,3
Daniel Valdez,3
Jacqueline Bisset,4
Jack Lemmon,5
Richard Pryor,5
Albert Brooks,5
Andy Kaufman,0
Sally Field,5
Robert Duvall,5
Marsha Mason,4
David Rasche,0
Harry Hamlin,0
Pepper Martin,0
John Savage,3
Tony Anthony,4
Bulle Ogier,1
Sean Penn,5
Arnold Schwarzenegger,5
Henry Thomas,5
Michelle Pfeiffer,5
Aileen Quinn,3
JoBeth Williams,5
Nick Nolte,5
William Shatner,5
Willie Aames,3
Lawrence Monoson,3
Ben Kingsley,4
Dustin Hoffman,5
Elizabeth Hartman,4
Marc Singer,4
Hal Holbrook,4
Bob Geldof,4
Nastassja Kinski,0
Bertil Guve,3
Dana Kimmell,4
Tom Atkins,4
Scott Baio,4
Kenny Rogers,4
Steve Guttenberg,5
Henry Winkler,4
Peter Gallagher,0
Barbara Hershey,3
Kate McNeil,4
Peter Ustinov,0
Lee Horsley,4
Charles Bronson,4
Barry Bostwick,0
Mariel Hemingway,0
James Olson,4
Jessica Lange,0
Morgan Fairchild,4
Matt Dillon,4
Ben Murphy,0
Armand Assante,3
John Cassavetes,0
Michael McKean,4
Roy Scheider,4
Robert Glaudini,0
Ronny Cox,4
Cher,5
Lewis Collins,0
Kathryn Harrold,3
Season Hubley,4
Jon Voight,4
Michael Ironside,4
Tim Matheson,4
Gerrit Graham,4
Michael O'Keefe,0
Ken Wahl,0
Allen Garfield,1
Mark Blankfield,0
Michael Palin,4
Raul Julia,3
John Hurt,0
Robert Urich,3
Toni Attell,4
Joan Collins,3
Bette Midler,5
Gérard Depardieu,5
Johnny Yune,4
Leon Isaac Kennedy,3
Ryan O'Neal,0
Mel Blanc,1
Luciano Pavarotti,0
Teresa Stratas,3
Tom Skerritt,3
Rainer Werner Fassbinder,1
Lorne Greene,3
Amy Madigan,0
John Wintergate,0
Elizabeth Edmonds,0
Bill Schoppert,0
Wendy Hughes,3
C. Thomas Howell,4
Tom Cruise,5
Eddie Murphy,5
Tom Berenger,5
Dennis Quaid,5
Keith Gordon,4
Felissa Rose,0
Jennifer Beals,5
Matthew Broderick,5
Sam Shepard,0
Ken Marshall,0
David Knell,4
Christopher Walken,0
Phoebe Cates,4
Nicolas Cage,5
James Woods,0
Dan Aykroyd,5
Peter Billingsley,4
Catherine Deneuve,4
Michael Keaton,5
Anthony Perkins,4
Burt Lancaster,4
Matt Lattanzi,4
Barbra Streisand,5
Randy Norton,0
Graham Chapman,0
John Cleese,4
Oleg Yankovskiy,1
Jackie Gleason,4
Rick Hill,4
Rodney Dangerfield,5
David Bowie,0
Peter Keleghan,3
Cliff Gorman,4
Mary Beth McDonough,3
Linda Blair,3
Peter Strauss,3
Tom Selleck,5
Kevin Kline,5
Don Francks,0
Lou Ferrigno,4
Christopher Atkins,3
Tony Roberts,3
Jane Alexander,3
Rutger Hauer,0
Shô Kosugi,4
Kathleen Quinlan,0
Mark Gregory,0
Reb Brown,3
Peter Weller,4
David Niven,0
Max Gail,4
Pia Zadora,0
Michael Douglas,5
David Keith,3
Mary Steenburgen,4
Cristina Raines,3
Rosanna Arquette,4
Julie Christie,3
John Candy,5
Timothy Hutton,3
Bonnie Bedelia,3
Malcolm McDowell,0
Tommy Lee Jones,5
Kelly Reno,4
Jeffrey Byron,3
Martin Yost,3
Linda Griffiths,3
Robby Benson,0
Margot Kidder,0
Steve Sandor,3
Ernest Borgnine,0
Martin Sheen,4
Peter Coyote,3
Dennis Hopper,4
Wings Hauser,0
Everett Silas,0
Jan-Michael Vincent,0
Richard Beymer,0
Mark Pirro,0
James Aubrey,0
Steve Railsback,0
Unknown,0
Kyle MacLachlan,0
Ralph Macchio,5
Heather Langenkamp,5
F. Murray Abraham,4
Patrick Swayze,5
Noah Hathaway,0
Kevin Bacon,5
Robert Carradine,5
Zach Galligan,5
Michael Paré,0
Molly Ringwald,4
Harry Dean Stanton,3
Rob Reiner,3
Val Kilmer,5
Peter Horton,4
Lance Guest,4
Tom Hanks,5
John Getz,3
Sumi Shimamoto,4
Erich Anderson,4
Grant Cramer,3
Rachel Ward,4
Helen Slater,0
Drew Barrymore,5
John Heard,3
Sam Waterston,4
Catherine Mary Stewart,4
Kathleen Turner,5
John Lurie,3
Judy Davis,4
Prince,5
Rob Lowe,4
Freddie Stuart,3
Tanya Roberts,0
Christopher Lambert,4
Chris Penn,4
Tawny Kitaen,3
Lucinda Dickey,4
Matthew Modine,3
Sarah Patterson,3
Peter Liapis,0
Lenny von Dohlen,3
