writer,writer_score
Stephen King,5
Henry De Vere Stacpoole,4
Leigh Brackett,5
Jim Abrahams,5
Brian Doyle-Murray,4
Victor Miller,5
Dan Aykroyd,5
Jake LaMotta,3
Jerry Siegel,5
Bill Bryden,3
Stanford Sherman,4
Jamie Uys,4
Jules Feiffer,4
Judith Guest,4
Brian De Palma,4
Richard Matheson,3
Christopher Gore,4
Patricia Resnick,5
John Carpenter,5
Bruce Jay Friedman,5
William Friedkin,4
Michael Cimino,0
Thomas Hunter,3
Richard Christian Danus,3
Aaron Latham,4
Paddy Chayefsky,4
Kimi Peck,4
Adam Kennedy,0
W.D. Richter,0
Paul Schrader,4
Alan Ormsby,4
William Gray,4
Hal Needham,5
David Eyre,0
Neil Simon,5
Nancy Meyers,5
Floyd Mutrux,0
Robert Jaffe,3
Samson Raphaelson,4
Thomas Rickman,5
Brian Clemens,3
Jonathan Hardy,0
Lawrence B. Marcus,3
Hunter S. Thompson,0
Allan Scott,4
Tommy Chong,5
Peter Benchley,5
Ulli Lommel,0
Mel Brooks,3
David Butler,0
Woody Allen,5
Bo Goldman,0
Bronte Woodard,0
Dennis Hackin,4
Federico Fellini,3
Tim Conway,0
Gordon Thomas,0
Rod Browning,3
Leigh Chapman,4
Ken Pettus,0
Don Tait,4
Joel Oliansky,3
Eleanor Bergstein,5
Gösta Stevens,4
Lewis John Carlino,5
Anne Bancroft,3
Valentin Chernykh,0
Rudy Dochtermann,4
Cyra McFadden,4
AJ Carothers,4
Guy Thomas,4
Charles M. Schulz,3
Marty Feldman,3
Big Boy Medlin,3
Jay Presson Allen,3
Ernest K. Gann,3
Damon Runyon,3
Jean Gruault,0
Franco Rosso,3
Ray Goldrup,0
Gary Sherman,3
Barry Siegel,3
Martin Donovan,5
Hans Christian Andersen,0
Josh Greenfeld,4
David Shaber,4
Jean Poiret,5
Chuck Barris,4
Anne Beatts,3
Hollis Hodges,3
Buck Henry,4
Hsin-Yi Chang,0
Lawrence Kasdan,5
John Landis,4
Sam Raimi,5
Bob Clark,5
Beverley Cross,4
Thomas Malory,4
Terry Hayes,4
Wolfgang Petersen,3
Len Blum,5
Andrzej Zulawski,3
Brock Yates,5
Frank Hohimer,3
Scott Spencer,4
Michael Palin,4
Alan Alda,5
Ron Kurz,4
David Cronenberg,0
Richard Maibaum,5
Darryl Ponicsan,4
Warren Beatty,0
Ernest Thompson,5
Daniel P. Mannix,4
Colin Welland,5
Kurt Luedtke,4
Tom Rowe,4
Yabo Yablonsky,3
Steve Gordon,5
Wallace Shawn,3
Rudy De Luca,4
Jeff Millar,0
Gary Brandner,4
Hal Barwood,0
Newton Thornburg,0
Gérard Brach,4
David Seltzer,5
Christina Crawford,4
